Time(s)        IT_calc(A)     VC_calc(V)     VR_calc(V)     VL_calc(V)    
7.500000e-02   -8.981620e-04  1.000573e+02   -1.796324e-02  -3.931949e-02 
7.600000e-02   -1.206913e-03  1.000466e+02   -2.413827e-02  -2.247852e-02 
7.700000e-02   -1.351217e-03  1.000337e+02   -2.702434e-02  -6.669882e-03 
7.800000e-02   -1.347913e-03  1.000201e+02   -2.695826e-02  6.872644e-03  
7.900000e-02   -1.224054e-03  1.000071e+02   -2.448107e-02  1.734260e-02  
8.000000e-02   -1.012626e-03  9.999590e+01   -2.025251e-02  2.435588e-02  
8.100000e-02   -7.485058e-04  9.998706e+01   -1.497012e-02  2.790870e-02  
8.200000e-02   -4.649854e-04  9.998099e+01   -9.299707e-03  2.830901e-02  
8.300000e-02   -1.910645e-04  9.997773e+01   -3.821289e-03  2.609227e-02  
8.400000e-02   5.037633e-05   9.997706e+01   1.007527e-03   2.193213e-02  
8.500000e-02   2.435234e-04   9.997857e+01   4.870468e-03   1.655478e-02  
8.600000e-02   3.797704e-04   9.998174e+01   7.595408e-03   1.066419e-02  
8.700000e-02   4.571853e-04   9.998597e+01   9.143706e-03   4.882868e-03  
8.800000e-02   4.794744e-04   9.999070e+01   9.589488e-03   -2.893642e-04 
8.900000e-02   4.546269e-04   9.999541e+01   9.092538e-03   -4.498021e-03 
9.000000e-02   3.934206e-04   9.999967e+01   7.868411e-03   -7.539485e-03 
9.100000e-02   3.079475e-04   1.000032e+02   6.158949e-03   -9.351958e-03 
9.200000e-02   2.102890e-04   1.000058e+02   4.205779e-03   -9.995310e-03 
9.300000e-02   1.114317e-04   1.000074e+02   2.228634e-03   -9.623640e-03 
9.400000e-02   2.047847e-05   1.000080e+02   4.095693e-04   -8.454347e-03 
9.500000e-02   -5.582840e-05  1.000079e+02   -1.116568e-03  -6.737114e-03 
9.600000e-02   -1.132852e-04  1.000070e+02   -2.265704e-03  -4.725615e-03 
9.700000e-02   -1.501445e-04  1.000057e+02   -3.002890e-03  -2.653990e-03 
9.800000e-02   -1.668270e-04  1.000041e+02   -3.336540e-03  -7.193396e-04 
9.900000e-02   -1.654907e-04  1.000024e+02   -3.309813e-03  9.292740e-04  
1.000000e-01   -1.495219e-04  1.000008e+02   -2.990438e-03  2.195519e-03  
