Time(s)        IT_calc(A)     VC_calc(V)     VR_calc(V)     VL_calc(V)    
7.600000e-02   2.460653e-04   9.997817e+01   2.460653e-02   -2.773197e-03 
7.700000e-02   2.198389e-04   9.998049e+01   2.198389e-02   -2.477621e-03 
7.800000e-02   1.964079e-04   9.998257e+01   1.964079e-02   -2.213549e-03 
7.900000e-02   1.754742e-04   9.998443e+01   1.754742e-02   -1.977623e-03 
8.000000e-02   1.567716e-04   9.998609e+01   1.567716e-02   -1.766842e-03 
8.100000e-02   1.400625e-04   9.998757e+01   1.400625e-02   -1.578527e-03 
8.200000e-02   1.251342e-04   9.998890e+01   1.251342e-02   -1.410283e-03 
8.300000e-02   1.117970e-04   9.999008e+01   1.117970e-02   -1.259971e-03 
8.400000e-02   9.988140e-05   9.999114e+01   9.988140e-03   -1.125680e-03 
8.500000e-02   8.923576e-05   9.999208e+01   8.923576e-03   -1.005702e-03 
8.600000e-02   7.972476e-05   9.999293e+01   7.972476e-03   -8.985113e-04 
8.700000e-02   7.122746e-05   9.999368e+01   7.122746e-03   -8.027454e-04 
8.800000e-02   6.363584e-05   9.999435e+01   6.363584e-03   -7.171865e-04 
8.900000e-02   5.685335e-05   9.999496e+01   5.685335e-03   -6.407467e-04 
9.000000e-02   5.079376e-05   9.999549e+01   5.079376e-03   -5.724541e-04 
9.100000e-02   4.538002e-05   9.999597e+01   4.538002e-03   -5.114403e-04 
9.200000e-02   4.054328e-05   9.999640e+01   4.054328e-03   -4.569296e-04 
9.300000e-02   3.622207e-05   9.999679e+01   3.622207e-03   -4.082287e-04 
9.400000e-02   3.236142e-05   9.999713e+01   3.236142e-03   -3.647185e-04 
9.500000e-02   2.891224e-05   9.999743e+01   2.891224e-03   -3.258458e-04 
9.600000e-02   2.583069e-05   9.999771e+01   2.583069e-03   -2.911162e-04 
9.700000e-02   2.307759e-05   9.999795e+01   2.307759e-03   -2.600882e-04 
9.800000e-02   2.061791e-05   9.999817e+01   2.061791e-03   -2.323673e-04 
9.900000e-02   1.842040e-05   9.999837e+01   1.842040e-03   -2.076009e-04 
1.000000e-01   1.645710e-05   9.999854e+01   1.645710e-03   -1.854742e-04 
