   Time             VI                IT                VC                VR              
  6.700000000E-02  -7.634434150E-03   6.774020795E-04   9.993989423E+01   6.774020795E-02 
  6.800000000E-02  -6.819919307E-03   6.051303122E-04   9.994630689E+01   6.051303122E-02 
  6.900000000E-02  -6.092304740E-03   5.405691919E-04   9.995203539E+01   5.405691919E-02 
  7.000000000E-02  -5.442319091E-03   4.828960728E-04   9.995715271E+01   4.828960728E-02 
  7.100000000E-02  -4.861680160E-03   4.313760765E-04   9.996172407E+01   4.313760765E-02 
  7.200000000E-02  -4.342989374E-03   3.853527289E-04   9.996580772E+01   3.853527289E-02 
  7.300000000E-02  -3.879637508E-03   3.442395945E-04   9.996945568E+01   3.442395945E-02 
  7.400000000E-02  -3.465720475E-03   3.075128045E-04   9.997271444E+01   3.075128045E-02 
  7.500000000E-02  -3.095964091E-03   2.747043817E-04   9.997562553E+01   2.747043817E-02 
  7.600000000E-02  -2.765656873E-03   2.453962769E-04   9.997822603E+01   2.453962769E-02 
  7.700000000E-02  -2.470590005E-03   2.192150425E-04   9.998054909E+01   2.192150425E-02 
  7.800000000E-02  -2.207003707E-03   1.958270739E-04   9.998262430E+01   1.958270739E-02 
  7.900000000E-02  -1.971539331E-03   1.749343587E-04   9.998447810E+01   1.749343587E-02 
  8.000000000E-02  -1.761196558E-03   1.562706793E-04   9.998613413E+01   1.562706793E-02 
  8.100000000E-02  -1.573295175E-03   1.395982206E-04   9.998761347E+01   1.395982206E-02 
  8.200000000E-02  -1.405440918E-03   1.247045402E-04   9.998893499E+01   1.247045402E-02 
  8.300000000E-02  -1.255494967E-03   1.113998608E-04   9.999011551E+01   1.113998608E-02 
  8.400000000E-02  -1.121546692E-03   9.951465247E-05   9.999117008E+01   9.951465246E-03 
  8.500000000E-02  -1.001889307E-03   8.889747247E-05   9.999211214E+01   8.889747247E-03 
  8.600000000E-02  -8.949981219E-04   7.941303533E-05   9.999295369E+01   7.941303533E-03 
  8.700000000E-02  -7.995111165E-04   7.094048913E-05   9.999370546E+01   7.094048914E-03 
  8.800000000E-02  -7.142115831E-04   6.337187564E-05   9.999437702E+01   6.337187564E-03 
  8.900000000E-02  -6.380126240E-04   5.661075460E-05   9.999497694E+01   5.661075460E-03 
  9.000000000E-02  -5.699433025E-04   5.057097497E-05   9.999551285E+01   5.057097497E-03 
  9.100000000E-02  -5.091362708E-04   4.517557710E-05   9.999599158E+01   4.517557710E-03 
  9.200000000E-02  -4.548167179E-04   4.035581216E-05   9.999641924E+01   4.035581216E-03 
  9.300000000E-02  -4.062924973E-04   3.605026608E-05   9.999680127E+01   3.605026608E-03 
  9.400000000E-02  -3.629453070E-04   3.220407706E-05   9.999714254E+01   3.220407706E-03 
  9.500000000E-02  -3.242228119E-04   2.876823647E-05   9.999744740E+01   2.876823647E-03 
  9.600000000E-02  -2.896316048E-04   2.569896439E-05   9.999771974E+01   2.569896439E-03 
  9.700000000E-02  -2.587309203E-04   2.295715176E-05   9.999796302E+01   2.295715176E-03 
  9.800000000E-02  -2.311270179E-04   2.050786207E-05   9.999818034E+01   2.050786207E-03 
  9.900000000E-02  -2.064681653E-04   1.831988615E-05   9.999837448E+01   1.831988615E-03 
  1.000000000E-01  -1.844401561E-04   1.636534455E-05   9.999854791E+01   1.636534455E-03 
